t,rnbank
2016-01-05,0.60%
2016-01-06,1.12%
2016-01-07,-7.84%
2016-01-08,2.13%
2016-01-11,-7.54%
2016-01-12,1.31%
2016-01-13,-0.90%
2016-01-14,2.02%
2016-01-15,-3.06%
2016-01-18,0.07%
2016-01-19,2.79%
2016-01-20,-1.91%
2016-01-21,-3.50%
2016-01-22,1.02%
2016-01-25,0.22%
2016-01-26,-7.60%
2016-01-27,-1.04%
2016-01-28,-1.62%
2016-01-29,4.75%
2016-02-01,-1.93%
2016-02-02,2.36%
2016-02-03,-0.86%
2016-02-04,1.37%
2016-02-05,-2.23%
2016-02-15,-1.33%
2016-02-16,3.97%
2016-02-17,0.58%
2016-02-18,-0.22%
2016-02-19,0.40%
2016-02-22,3.70%
2016-02-23,-1.71%
2016-02-24,0.49%
2016-02-25,-7.93%
2016-02-26,0.91%
2016-02-29,-2.51%
2016-03-01,3.07%
2016-03-02,5.03%
2016-03-03,-0.09%
2016-03-04,1.66%
2016-03-07,-0.20%
2016-03-08,0.22%
2016-03-09,-0.77%
2016-03-10,-2.92%
2016-03-11,1.27%
2016-03-14,1.67%
2016-03-15,0.07%
2016-03-16,1.06%
2016-03-17,1.63%
2016-03-18,2.45%
2016-03-21,7.00%
2016-03-22,-2.64%
2016-03-23,1.38%
2016-03-24,-3.60%
2016-03-25,1.11%
2016-03-28,-2.22%
2016-03-29,-0.53%
2016-03-30,3.06%
2016-03-31,-0.01%
2016-04-01,-0.29%
2016-04-05,1.35%
2016-04-06,-0.71%
2016-04-07,-2.01%
2016-04-08,-1.46%
2016-04-11,2.19%
2016-04-12,-0.17%
2016-04-13,2.11%
2016-04-14,0.52%
2016-04-15,-0.34%
2016-04-18,-1.84%
2016-04-19,0.63%
2016-04-20,-0.79%
2016-04-21,-1.00%
2016-04-22,0.65%
2016-04-25,-1.00%
2016-04-26,0.74%
2016-04-27,-0.97%
2016-04-28,-0.37%
2016-04-29,-0.53%
2016-05-03,1.40%
2016-05-04,-0.33%
2016-05-05,0.04%
2016-05-06,-3.40%
2016-05-09,-2.39%
2016-05-10,-0.24%
2016-05-11,-0.25%
2016-05-12,1.09%
2016-05-13,-0.54%
2016-05-16,0.37%
2016-05-17,0.08%
2016-05-18,0.52%
2016-05-19,-0.36%
2016-05-20,0.78%
2016-05-23,0.15%
2016-05-24,-1.03%
2016-05-25,0.07%
2016-05-26,0.35%
2016-05-27,-0.33%
2016-05-30,0.64%
2016-05-31,5.57%
2016-06-01,-1.25%
2016-06-02,0.38%
2016-06-03,0.18%
2016-06-06,-0.78%
2016-06-07,0.35%
2016-06-08,-0.46%
2016-06-13,-3.74%
2016-06-14,0.88%
2016-06-15,1.06%
2016-06-16,-0.94%
2016-06-17,0.48%
2016-06-20,0.26%
2016-06-21,0.60%
2016-06-22,1.23%
2016-06-23,-0.48%
2016-06-24,-1.56%
2016-06-27,1.51%
2016-06-28,1.25%
2016-06-29,0.20%
2016-06-30,0.09%
2016-07-01,-0.16%
2016-07-04,2.35%
2016-07-05,-0.40%
2016-07-06,-0.35%
2016-07-07,0.05%
2016-07-08,-0.04%
2016-07-11,-0.20%
2016-07-12,2.41%
2016-07-13,0.33%
2016-07-14,0.02%
2016-07-15,-0.84%
2016-07-18,-1.46%
2016-07-19,0.21%
2016-07-20,-0.46%
2016-07-21,0.79%
2016-07-22,-0.94%
2016-07-25,-0.12%
2016-07-26,1.17%
2016-07-27,-1.33%
2016-07-28,-1.56%
2016-07-29,-0.59%
2016-08-01,-0.73%
2016-08-02,0.37%
2016-08-03,-0.18%
2016-08-04,0.17%
2016-08-05,0.04%
2016-08-08,0.66%
2016-08-09,0.71%
2016-08-10,-0.37%
2016-08-11,0.40%
2016-08-12,2.29%
2016-08-15,4.80%
2016-08-16,-1.19%
2016-08-17,-0.32%
2016-08-18,-0.28%
2016-08-19,-0.07%
2016-08-22,-1.36%
2016-08-23,0.59%
2016-08-24,-1.04%
2016-08-25,0.08%
2016-08-26,-0.35%
2016-08-29,0.22%
2016-08-30,0.34%
2016-08-31,0.62%
2016-09-01,-0.87%
2016-09-02,0.89%
2016-09-05,0.01%
2016-09-06,0.62%
2016-09-07,0.02%
2016-09-08,-0.02%
2016-09-09,-0.34%
2016-09-12,-1.78%
2016-09-13,-0.71%
2016-09-14,-0.93%
2016-09-19,0.80%
2016-09-20,-0.19%
2016-09-21,0.39%
2016-09-22,0.52%
2016-09-23,-0.53%
2016-09-26,-1.69%
2016-09-27,0.65%
2016-09-28,-0.36%
2016-09-29,0.68%
2016-09-30,0.00%
2016-10-10,1.53%
2016-10-11,0.21%
2016-10-12,-0.22%
2016-10-13,-0.15%
2016-10-14,-0.22%
2016-10-17,-1.32%
2016-10-18,1.95%
2016-10-19,-0.57%
2016-10-20,-0.09%
2016-10-21,0.48%
2016-10-24,1.67%
2016-10-25,-0.33%
2016-10-26,-0.22%
2016-10-27,-0.13%
2016-10-28,0.69%
2016-10-31,0.09%
2016-11-01,0.94%
2016-11-02,-0.73%
2016-11-03,1.87%
2016-11-04,-0.27%
2016-11-07,0.24%
2016-11-08,0.16%
2016-11-09,-1.24%
2016-11-10,1.48%
2016-11-11,2.30%
2016-11-14,0.47%
2016-11-15,-0.45%
2016-11-16,0.15%
2016-11-17,0.03%
2016-11-18,-1.19%
2016-11-21,1.26%
2016-11-22,1.00%
2016-11-23,-0.72%
2016-11-24,0.96%
2016-11-25,0.72%
2016-11-28,-0.58%
2016-11-29,0.30%
2016-11-30,-1.06%
2016-12-01,0.61%
2016-12-02,-1.35%
2016-12-05,-2.31%
2016-12-06,-0.30%
2016-12-07,0.70%
2016-12-08,-0.77%
2016-12-09,0.70%
2016-12-12,-1.92%
2016-12-13,-0.28%
2016-12-14,-0.68%
2016-12-15,-1.55%
2016-12-16,-0.23%
2016-12-19,-0.56%
2016-12-20,-0.42%
2016-12-21,0.47%
2016-12-22,-0.39%
2016-12-23,-0.96%
2016-12-26,0.98%
2016-12-27,-0.32%
2016-12-28,-0.23%
2016-12-29,-0.32%
2016-12-30,0.73%
2017-01-03,1.03%
2017-01-04,0.29%
2017-01-05,-0.25%
2017-01-06,-0.99%
2017-01-09,0.37%
2017-01-10,-0.19%
2017-01-11,-0.22%
2017-01-12,-0.11%
2017-01-13,0.54%
2017-01-16,0.54%
2017-01-17,-0.48%
2017-01-18,0.14%
2017-01-19,-0.28%
2017-01-20,0.72%
2017-01-23,0.08%
2017-01-24,-0.35%
2017-01-25,0.32%
2017-01-26,0.35%
2017-02-03,-1.32%
2017-02-06,0.42%
2017-02-07,-0.25%
2017-02-08,1.03%
2017-02-09,0.08%
2017-02-10,0.35%
2017-02-13,0.56%
2017-02-14,-0.36%
2017-02-15,-0.33%
2017-02-16,0.56%
2017-02-17,0.01%
2017-02-20,1.01%
2017-02-21,0.28%
2017-02-22,-0.21%
2017-02-23,-1.00%
2017-02-24,0.16%
2017-02-27,-0.98%
2017-02-28,0.03%
2017-03-01,-0.10%
2017-03-02,-0.50%
2017-03-03,-0.43%
2017-03-06,0.47%
2017-03-07,0.11%
2017-03-08,-0.40%
2017-03-09,-0.38%
2017-03-10,-0.37%
2017-03-13,0.71%
2017-03-14,-0.16%
2017-03-15,-0.05%
2017-03-16,1.43%
2017-03-17,-1.56%
2017-03-20,-0.40%
2017-03-21,-0.19%
2017-03-22,-1.30%
2017-03-23,0.61%
2017-03-24,0.91%
2017-03-27,-0.02%
2017-03-28,-0.37%
2017-03-29,-0.76%
2017-03-30,-0.18%
2017-03-31,0.27%
2017-04-05,1.18%
2017-04-06,-0.32%
2017-04-07,-0.17%
2017-04-10,-0.69%
2017-04-11,0.02%
2017-04-12,0.27%
2017-04-13,-0.41%
2017-04-14,-0.77%
2017-04-17,0.01%
2017-04-18,-1.40%
2017-04-19,-0.39%
2017-04-20,0.11%
2017-04-21,0.88%
2017-04-24,0.25%
2017-04-25,-0.27%
2017-04-26,1.08%
2017-04-27,0.31%
2017-04-28,0.18%
2017-05-02,-0.78%
2017-05-03,-0.30%
2017-05-04,-0.55%
2017-05-05,-1.36%
2017-05-08,0.38%
2017-05-09,-0.14%
2017-05-10,1.14%
2017-05-11,0.04%
2017-05-12,1.60%
2017-05-15,0.20%
2017-05-16,0.34%
2017-05-17,-0.76%
2017-05-18,-0.66%
2017-05-19,0.12%
2017-05-22,0.95%
2017-05-23,0.56%
2017-05-24,0.01%
2017-05-25,4.10%
2017-05-26,-0.25%
2017-05-31,0.44%
2017-06-01,0.43%
2017-06-02,-1.23%
2017-06-05,-0.59%
2017-06-06,1.09%
2017-06-07,0.71%
2017-06-08,1.25%
2017-06-09,0.28%
2017-06-12,-0.06%
2017-06-13,-0.12%
2017-06-14,-1.14%
2017-06-15,-0.13%
2017-06-16,0.07%
2017-06-19,2.46%
2017-06-20,-0.49%
2017-06-21,0.98%
2017-06-22,0.23%
2017-06-23,0.34%
2017-06-26,0.98%
2017-06-27,-0.13%
2017-06-28,-1.25%
2017-06-29,0.97%
2017-06-30,-0.22%
2017-07-03,-0.86%
2017-07-04,-1.09%
