 	0
很	1
吃	2
都	3
还	4
去	5
不错	6
味道	7
不	8
好	9
好吃	10
人	11
喜欢	12
感觉	13
点	14
说	15
一个	16
菜	17
环境	18
没	19
这家	20
店	21
上	22
很多	23
元	24
东西	25
服务员	26
价格	27
做	28
会	29
服务	30
买	31
挺	32
朋友	33
大	34
口味	35
地方	36
小	37
最	38
特别	39
真的	40
他家	41
再	42
蛮	43
想	44
看	45
2	46
才	47
里	48
推荐	49
汤	50
太	51
便宜	52
每次	53
肉	54
家	55
牛肉	56
贵	57
一家	58
饭	59
一点	60
5	61
算	62
特色	63
好像	64
实在	65
吃饭	66
新鲜	67
一份	68
喝	69
两个	70
呵呵	71
3	72
适合	73
完	74
量	75
烤	76
少	77
没什么	78
倒	79
蛋糕	80
鱼	81
装修	82
面	83
中午	84
下	85
后	86
发现	87
1	88
爱	89
很大	90
中	91
送	92
生意	93
套餐	94
辣	95
口感	96
老板	97
实惠	98
晚上	99
4	100
只	101
下次	102
找	103
第一次	104
选择	105
8	106
走	107
进去	108
10	109
面包	110
几个	111
餐厅	112
老	113
那种	114
干净	115
开	116
差	117
高	118
好多	119
更	120
不好	121
总体	122
差不多	123
海鲜	124
块	125
鸡	126
味	127
去过	128
粥	129
6	130
来说	131
算是	132
点评	133
性价比	134
虾	135
态度	136
加	137
香	138
时间	139
确实	140
带	141
上海	142
菜品	143
外面	144
饮料	145
价钱	146
店里	147
旁边	148
同事	149
炒	150
坐	151
印象	152
本来	153
上菜	154
居然	155
正宗	156
豆腐	157
舒服	158
随便	159
不少	160
奶茶	161
唔	162
位置	163
火锅	164
真	165
行	166
记得	167
羊肉	168
分量	169
咖啡	170
只能	171
反正	172
问	173
超级	174
时	175
还好	176
排队	177
估计	178
不算	179
门口	180
一碗	181
客人	182
几次	183
值得	184
茶	185
貌似	186
入味	187
失望	188
卖	189
酱	190
酒店	191
一般般	192
名字	193
品种	194
路过	195
看着	196
老公	197
店面	198
很少	199
甜	200
好喝	201
放	202
招牌	203
饼	204
拌	205
同学	206
芝士	207
可惜	208
饭店	209
服务态度	210
牛排	211
美味	212
酥	213
钱	214
嫩	215
样子	216
北京	217
热情	218
蔬菜	219
还要	220
水果	221
桌子	222
20	223
正好	224
活动	225
巧克力	226
大概	227
些	228
免费	229
难吃	230
7	231
却	232
足	233
这次	234
菜单	235
刚	236
咸	237
不到	238
前	239
满	240
米	241
D	242
换	243
速度	244
公司	245
快	246
咖喱	247
住	248
有个	249
自助	250
小吃	251
寿司	252
煎	253
够	254
油	255
消费	256
逛	257
点菜	258
选	259
尝尝	260
还行	261
点心	262
种类	263
肯定	264
尝试	265
份	266
上次	267
干	268
基本上	269
块钱	270
一杯	271
听	272
建议	273
那天	274
很小	275
煮	276
团购	277
热	278
希望	279
12	280
新	281
有人	282
竟然	283
超市	284
小时	285
试试	286
沙拉	287
米饭	288
锅	289
不用	290
久	291
据说	292
下午	293
烧烤	294
鸡翅	295
赞	296
一种	297
位子	298
出	299
30	300
不太	301
请	302
帮	303
皮	304
打折	305
9	306
生	307
馄饨	308
机会	309
介绍	310
排骨	311
烤肉	312
偶尔	313
稍微	314
回家	315
精致	316
鸭	317
鱼头	318
找到	319
碗	320
配	321
还会	322
15	323
饺子	324
不怎么	325
风格	326
总	327
甜品	328
搞	329
近	330
三文鱼	331
食物	332
烧	333
人气	334
质量	335
三个	336
包	337
料	338
划算	339
先	340
小店	341
系	342
鸡肉	343
很香	344
挺好吃	345
路	346
话	347
昨天	348
卷	349
炸	350
听说	351
终于	352
聚餐	353
价位	354
不想	355
地道	356
特价	357
包间	358
芒果	359
唯一	360
二楼	361
跑	362
清淡	363
锅底	364
加上	365
凉菜	366
煲	367
土豆	368
对面	369
炒饭	370
分店	371
折	372
停车	373
奶油	374
必点	375
一层	376
是因为	377
周末	378
座位	379
汁	380
浓郁	381
腻	382
饿	383
光顾	384
小菜	385
平时	386
小贵	387
一块	388
有时候	389
等位	390
毕竟	391
楼	392
衣服	393
房间	394
一口	395
看上去	396
满意	397
坐在	398
滑	399
粉	400
人多	401
不行	402
大厅	403
没想到	404
原因	405
妈妈	406
分	407
日本	408
聚会	409
无	410
顾客	411
弄	412
年	413
分钟	414
的确	415
回来	416
水	417
安静	418
外卖	419
夏天	420
滴	421
尝	422
菜量	423
很快	424
月	425
牛蛙	426
烤鸭	427
酸	428
次	429
花	430
拉面	431
米线	432
打包	433
抹	434
服务生	435
写	436
请客	437
鲜美	438
虾仁	439
包子	440
菜式	441
麻辣	442
评价	443
优惠	444
泡	445
店家	446
看起来	447
慢	448
冷	449
优惠券	450
接受	451
咯	452
店员	453
两次	454
玩	455
一楼	456
面条	457
一道	458
包房	459
硬	460
不怎么样	461
半天	462
披萨	463
挺不错	464
鸡蛋	465
手	466
蟹	467
石锅	468
肥牛	469
整体	470
豆浆	471
一盘	472
香味	473
饱	474
冬天	475
越来越	476
家里	477
茄子	478
楼下	479
开业	480
开心	481
肚子	482
100	483
楼上	484
号	485
不吃	486
粉丝	487
调料	488
忘记	489
食堂	490
18	491
不贵	492
炖	493
卡	494
涮	495
卫生	496
嘿嘿	497
美食	498
学校	499
烤鱼	500
油腻	501
早餐	502
好好	503
厨师	504
干锅	505
辣椒	506
蘸	507
超	508
红豆	509
简直	510
就要	511
也许	512
道	513
布丁	514
冰	515
还点	516
50	517
拉	518
嚼	519
玉米	520
杯	521
早	522
想象	523
可爱	524
忘	525
老板娘	526
浓	527
甜点	528
吃饱	529
重	530
蘑菇	531
适中	532
铁板	533
放在	534
啤酒	535
一共	536
酸奶	537
类似	538
聊天	539
第二次	540
川菜	541
盘子	542
食	543
韩国	544
这是	545
类	546
不了	547
错	548
鱿鱼	549
别人	550
间	551
很嫩	552
办	553
冰激凌	554
片	555
网上	556
至少	557
晚	558
一看	559
解决	560
端上来	561
入口	562
牌子	563
颜色	564
本人	565
很浓	566
快餐	567
提前	568
享受	569
拼盘	570
单位	571
它家	572
头发	573
就算	574
品牌	575
结账	576
一点点	577
说实话	578
正	579
刺身	580
更好	581
一桌	582
南瓜	583
肉质	584
五花肉	585
排	586
奇怪	587
一大	588
学生	589
逛街	590
28	591
好看	592
蒸	593
胃口	594
长	595
吸引	596
头	597
真心	598
心情	599
餐馆	600
很鲜	601
偶	602
色拉	603
进门	604
空调	605
自助餐	606
不像	607
新开	608
爽口	609
馅	610
萝卜	611
劲	612
嘅	613
左	614
一半	615
主食	616
四个	617
沙发	618
鲜	619
配菜	620
那家	621
水煮鱼	622
商务	623
青菜	624
关系	625
刚刚	626
一只	627
合适	628
告诉	629
度	630
小小的	631
不知	632
广场	633
大众	634
家常菜	635
吵	636
人均	637
简单	638
下午茶	639
商场	640
猪肉	641
搭配	642
自然	643
11	644
风味	645
券	646
不太好	647
一斤	648
冰淇淋	649
成	650
番茄	651
像是	652
字	653
传统	654
翅	655
噶	656
热菜	657
小笼	658
早上	659
花生	660
出品	661
比起	662
坐下	663
老字号	664
额	665
我点	666
远	667
几天	668
骨头	669
一张	670
过瘾	671
份量	672
糯	673
天	674
回去	675
交通	676
生日	677
牛	678
做法	679
香港	680
到位	681
汤汁	682
蚝	683
原味	684
生菜	685
挑	686
金针菇	687
健康	688
涨价	689
掉	690
路上	691
午餐	692
不腻	693
酱油	694
鱼肉	695
一顿	696
龙虾	697
阿姨	698
品尝	699
串	700
隔壁	701
下班	702
38	703
提供	704
咬	705
棒	706
死	707
关键	708
锅贴	709
麻辣烫	710
会员卡	711
进	712
相比	713
个头	714
一人	715
烫	716
没吃过	717
两	718
蛋挞	719
效果	720
习惯	721
香菇	722
宴请	723
电话	724
一条	725
红	726
婚宴	727
口	728
用餐	729
我家	730
炒菜	731
越	732
米粉	733
