 	0
很	1
吃	2
都	3
还	4
不错	5
去	6
味道	7
不	8
好	9
好吃	10
人	11
喜欢	12
点	13
感觉	14
说	15
一个	16
菜	17
环境	18
没	19
这家	20
店	21
上	22
很多	23
服务员	24
东西	25
元	26
挺	27
价格	28
服务	29
买	30
会	31
做	32
朋友	33
大	34
口味	35
小	36
地方	37
最	38
特别	39
真的	40
蛮	41
他家	42
再	43
想	44
看	45
2	46
才	47
里	48
太	49
汤	50
推荐	51
每次	52
肉	53
便宜	54
家	55
牛肉	56
一家	57
贵	58
饭	59
一点	60
算	61
5	62
特色	63
一份	64
新鲜	65
好像	66
喝	67
量	68
两个	69
实在	70
吃饭	71
完	72
3	73
适合	74
倒	75
少	76
中午	77
烤	78
蛋糕	79
面	80
下	81
爱	82
口感	83
很大	84
装修	85
套餐	86
呵呵	87
鱼	88
没什么	89
送	90
后	91
生意	92
中	93
1	94
发现	95
下次	96
走	97
找	98
第一次	99
辣	100
晚上	101
4	102
实惠	103
老板	104
进去	105
选择	106
总体	107
餐厅	108
10	109
只	110
老	111
那种	112
面包	113
几个	114
差不多	115
更	116
高	117
干净	118
开	119
好多	120
8	121
点评	122
块	123
来说	124
差	125
性价比	126
味	127
饮料	128
虾	129
时间	130
不好	131
态度	132
加	133
菜品	134
算是	135
6	136
海鲜	137
外面	138
鸡	139
粥	140
店里	141
上海	142
带	143
确实	144
随便	145
奶茶	146
上菜	147
行	148
同事	149
不少	150
坐	151
香	152
旁边	153
排队	154
本来	155
位置	156
去过	157
舒服	158
问	159
超级	160
豆腐	161
居然	162
火锅	163
只能	164
印象	165
估计	166
貌似	167
真	168
炒	169
分量	170
羊肉	171
还好	172
反正	173
咖啡	174
价钱	175
不算	176
茶	177
芝士	178
入味	179
记得	180
正宗	181
酱	182
时	183
客人	184
老公	185
唔	186
一般般	187
门口	188
失望	189
看着	190
路过	191
好喝	192
很少	193
甜	194
放	195
招牌	196
一碗	197
名字	198
值得	199
卖	200
热情	201
店面	202
嫩	203
服务态度	204
巧克力	205
酒店	206
几次	207
活动	208
团购	209
正好	210
牛排	211
这次	212
可惜	213
品种	214
寿司	215
美味	216
咖喱	217
免费	218
拌	219
蔬菜	220
桌子	221
饼	222
样子	223
菜单	224
大概	225
酥	226
足	227
水果	228
20	229
刚	230
米	231
钱	232
选	233
还要	234
不到	235
速度	236
还行	237
快	238
自助	239
7	240
北京	241
同学	242
饭店	243
消费	244
难吃	245
却	246
咸	247
换	248
逛	249
住	250
些	251
煎	252
公司	253
有个	254
份	255
小吃	256
满	257
一杯	258
前	259
尝试	260
肯定	261
热	262
种类	263
干	264
够	265
点菜	266
尝尝	267
超市	268
油	269
三文鱼	270
沙拉	271
久	272
很小	273
听	274
竟然	275
生	276
下午	277
那天	278
点心	279
煮	280
基本上	281
上次	282
小时	283
米饭	284
建议	285
位子	286
希望	287
不用	288
12	289
人气	290
块钱	291
帮	292
还会	293
赞	294
鸡肉	295
不太	296
配	297
等位	298
有人	299
锅	300
新	301
稍微	302
打折	303
甜品	304
风格	305
试试	306
卷	307
9	308
机会	309
精致	310
皮	311
15	312
芒果	313
先	314
质量	315
烤肉	316
一种	317
烧	318
据说	319
炸	320
划算	321
找到	322
出	323
终于	324
碗	325
鸭	326
30	327
挺好吃	328
小店	329
搞	330
烧烤	331
鸡翅	332
路	333
介绍	334
料	335
偶尔	336
锅底	337
牛蛙	338
近	339
包	340
馄饨	341
食物	342
D	343
排骨	344
浓郁	345
特价	346
三个	347
价位	348
回家	349
小贵	350
座位	351
话	352
很香	353
汁	354
衣服	355
不怎么	356
必点	357
请	358
二楼	359
奶油	360
房间	361
总	362
清淡	363
土豆	364
满意	365
折	366
平时	367
腻	368
唯一	369
鱼头	370
停车	371
分钟	372
周末	373
小菜	374
优惠	375
昨天	376
包间	377
聚餐	378
不行	379
滴	380
一块	381
抹	382
听说	383
优惠券	384
跑	385
有时候	386
没想到	387
店家	388
不想	389
毕竟	390
顾客	391
对面	392
麻辣	393
是因为	394
酸	395
一层	396
滑	397
炒饭	398
系	399
地道	400
加上	401
凉菜	402
一口	403
店员	404
坐在	405
打包	406
煲	407
拉面	408
饺子	409
很快	410
披萨	411
回来	412
外卖	413
光顾	414
人多	415
冷	416
分	417
评价	418
日本	419
楼	420
肥牛	421
饿	422
安静	423
聚会	424
布丁	425
烤鸭	426
水	427
真心	428
菜量	429
鲜美	430
原因	431
蟹	432
次	433
看上去	434
妈妈	435
虾仁	436
酸奶	437
整体	438
花	439
接受	440
100	441
弄	442
慢	443
夏天	444
挺不错	445
写	446
大厅	447
服务生	448
看起来	449
无	450
尝	451
拼盘	452
硬	453
半天	454
包房	455
开心	456
粉	457
一楼	458
一盘	459
分店	460
饱	461
菜式	462
号	463
重	464
面条	465
的确	466
冰激凌	467
米线	468
可爱	469
石锅	470
年	471
泡	472
很嫩	473
美食	474
家里	475
调料	476
鸡蛋	477
一共	478
开业	479
香味	480
红豆	481
手	482
提前	483
一道	484
冬天	485
干锅	486
结账	487
咯	488
盘子	489
刺身	490
越来越	491
楼下	492
月	493
卡	494
蘸	495
色拉	496
豆浆	497
两次	498
杯	499
包子	500
头发	501
商场	502
就要	503
品牌	504
粉丝	505
嚼	506
甜点	507
玩	508
烤鱼	509
不了	510
忘记	511
蘑菇	512
早	513
油腻	514
楼上	515
请客	516
网上	517
牌子	518
道	519
入口	520
类似	521
50	522
卫生	523
第二次	524
18	525
肉质	526
茄子	527
聊天	528
吃饱	529
片	530
下午茶	531
浓	532
超	533
一看	534
肚子	535
想象	536
川菜	537
冰	538
涮	539
南瓜	540
老板娘	541
逛街	542
嘿嘿	543
适中	544
广场	545
就算	546
还点	547
炖	548
厨师	549
别人	550
券	551
鱿鱼	552
排	553
早餐	554
颜色	555
也许	556
办	557
不吃	558
很浓	559
主食	560
忘	561
解决	562
类	563
辣椒	564
不怎么样	565
不贵	566
一点点	567
劲	568
好看	569
错	570
铁板	571
玉米	572
好好	573
一桌	574
人均	575
晚	576
配菜	577
一半	578
嘅	579
四个	580
新开	581
啤酒	582
这是	583
长	584
五花肉	585
说实话	586
至少	587
鱼肉	588
韩国	589
更好	590
金针菇	591
端上来	592
奇怪	593
冰淇淋	594
放在	595
进门	596
搭配	597
正	598
食	599
享受	600
糯	601
关系	602
合适	603
额	604
一大	605
吸引	606
很鲜	607
小小的	608
大众	609
头	610
吵	611
蒸	612
沙发	613
坐下	614
红烧肉	615
爽口	616
像是	617
不像	618
到位	619
单位	620
度	621
健康	622
番茄	623
11	624
远	625
本人	626
简直	627
中规中矩	628
午餐	629
会员卡	630
叉烧	631
胃口	632
鲜	633
间	634
刚刚	635
28	636
汤汁	637
我点	638
小笼	639
水煮鱼	640
棒	641
年糕	642
自助餐	643
老妈	644
清爽	645
不腻	646
空调	647
它家	648
告诉	649
拉	650
猪肉	651
心情	652
原味	653
简单	654
餐馆	655
不太好	656
学校	657
下班	658
掉	659
效果	660
一张	661
生日	662
份量	663
不知	664
死	665
交通	666
挑	667
老字号	668
酱油	669
食堂	670
天	671
几天	672
一只	673
热菜	674
自然	675
香港	676
蛋挞	677
路上	678
萝卜	679
风味	680
全是	681
个头	682
关键	683
一斤	684
传统	685
骨头	686
牛	687
淡	688
生菜	689
一位	690
38	691
商务	692
发票	693
快餐	694
隔壁	695
馅	696
丸子	697
香菇	698
一人	699
一条	700
O	701
翅	702
没吃过	703
比起	704
青菜	705
进	706
斤	707
经理	708
花生	709
日式	710
学生	711
焗	712
噶	713
榴莲	714
阿姨	715
酱汁	716
电话	717
全	718
口	719
回去	720
字	721
一会	722
怕	723
甜甜的	724
咬	725
红	726
大爱	727
成	728
蚝	729
那家	730
烫	731
品尝	732
小料	733
